,0
193,463.0
194,5.0
195,8.0
196,10.0
197,7.0
198,20.0
199,4.0
200,26.0
201,43.0
202,11.0
203,4.0
204,4.0
205,13.0
206,40.0
207,50.0
208,12.0
209,5.0
210,17.0
211,4.0
212,2.0
213,3.0
214,2.0
215,34.0
216,4.0
217,30.0
218,32.0
219,17.0
220,6.0
221,8.0
222,8.0
223,7.0
224,6.0
225,9.0
226,2.0
227,94.0
228,42.0
229,4.0
230,6.0
231,4.0
232,5.0
233,2.0
234,2.0
235,7.0
236,6.0
237,10.0
238,35.0
239,5.0
240,13.0
241,1.0
242,57.0
243,3.0
244,1.0
245,4.0
246,1161.0
247,57.0
248,239.0
249,34.0
250,82.0
251,56.0
252,33.0
253,6.0
254,1.0
255,1.0
256,618.0
257,8.0
258,1.0
259,1.0
260,12.0
261,565.0
262,773.0
263,650.0
264,180.0
265,163.0
266,370.0
267,1095.0
268,43.0
269,336.0
270,53.0
271,257.0
272,1043.0
273,117.0
274,906.0
275,16.0
276,69.0
277,88.0
278,336.0
279,43.0
280,170.0
281,294.0
282,382.0
283,1290.0
284,585.0
285,85.0
286,1382.0
287,194.0
288,541.0
289,9.0
290,31.0
291,12.0
292,429.0
293,323.0
294,36.0
295,257.0
296,334.0
297,378.0
298,1406.0
299,36.0
300,88.0
301,1.0
302,2.0
303,17.0
304,1.0
305,12.0
306,7.0
307,24.0
308,1214.0
309,603.0
310,8.0
311,3.0
312,12.0
313,16.0
314,6.0
315,19.0
316,8.0
317,31.0
318,472.0
319,792.0
320,161.0
321,48.0
322,95.0
323,395.0
324,9.0
325,54.0
326,1839.0
327,1121.0
328,105.0
329,186.0
330,795.0
331,229.0
332,327.0
333,322.0
334,171.0
335,14.0
336,14.0
337,6.0
338,535.0
339,2772.0
340,2.0
341,6.0
342,2.0
343,2.0
344,3.0
345,1.0
346,2.0
347,2.0
348,1.0
349,2.0
350,1.0
351,2.0
352,3.0
353,3.0
354,2.0
355,1.0
356,3.0
357,3.0
358,1.0
359,1.0
360,147.0
361,391.0
362,1104.0
363,38.0
364,437.0
365,182.0
366,130.0
367,452.0
368,169.0
369,1734.0
370,448.0
371,235.0
372,326.0
373,42.0
374,705.0
375,941.0
376,123.0
377,1104.0
378,130.0
379,42.0
380,176.0
381,5.0
382,3.0
383,102.0
384,18.0
385,246.0
386,432.0
387,23.0
388,553.0
389,214.0
390,27.0
391,93.0
392,514.0
393,12.0
394,1390.0
395,145.0
396,140.0
397,107.0
398,58.0
399,366.0
400,10.0
401,392.0
402,190.0
403,462.0
404,425.0
405,1014.0
406,62.0
407,8.0
408,18.0
409,458.0
410,444.0
411,10.0
412,2170.0
413,618.0
414,271.0
415,182.0
416,111.0
417,82.0
418,1165.0
419,1916.0
420,10.0
421,117.0
422,398.0
423,464.0
424,148.0
425,40.0
426,55.0
427,388.0
428,143.0
429,638.0
430,299.0
431,67.0
432,132.0
433,132.0
434,772.0
435,339.0
436,174.0
437,67.0
438,638.0
439,339.0
440,613.0
441,457.0
442,1152.0
443,2726.0
444,2450.0
445,98.0
446,2379.0
447,603.0
448,2212.0
449,1638.0
450,124.0
451,5.0
452,270.0
453,531.0
454,369.0
455,415.0
456,1152.0
457,124.0
458,2379.0
459,270.0
460,22.0
461,18.0
462,51.0
463,223.0
464,2746.0
465,37.0
466,114.0
467,17.0
468,191.0
469,688.0
470,76.0
471,64.0
472,475.0
473,1248.0
474,633.0
475,191.0
476,76.0
477,22.0
478,76.0
479,51.0
480,11.0
481,63.0
482,36.0
483,27.0
484,11.0
485,10.0
486,24.0
487,19.0
488,14.0
489,51.0
490,103.0
491,288.0
492,5.0
493,66.0
494,51.0
495,342.0
496,217.0
497,98.0
498,288.0
499,63.0
500,13.0
501,52.0
502,53.0
503,257.0
504,120.0
505,1215.0
506,113.0
507,8.0
508,26.0
509,12.0
510,22.0
511,69.0
512,77.0
513,67.0
514,47.0
515,31.0
516,172.0
517,6.0
518,69.0
519,67.0
520,69.0
521,669.0
522,2953.0
523,400.0
524,11.0
525,4.0
526,74.0
527,386.0
528,52.0
529,46.0
530,36.0
531,1.0
532,41.0
533,28.0
534,7.0
535,39.0
536,6.0
537,39.0
538,240.0
539,386.0
540,3.0
541,4.0
542,4.0
543,4.0
544,4.0
545,4.0
546,4.0
547,4.0
548,3.0
549,1.0
550,3.0
551,2.0
552,4.0
553,143.0
554,4.0
555,4.0
556,4.0
557,4.0
558,4.0
559,3.0
560,13.0
561,181.0
562,144.0
563,976.0
564,141.0
565,180.0
566,41.0
567,14.0
568,84.0
569,93.0
570,20.0
571,203.0
572,30.0
573,51.0
574,187.0
575,170.0
576,503.0
577,21.0
578,16.0
579,51.0
580,100.0
581,6.0
582,106.0
583,313.0
584,15.0
585,3.0
586,1845.0
587,11.0
588,483.0
589,11.0
590,96.0
591,10.0
592,13.0
593,34.0
594,17.0
595,56.0
596,23.0
597,2159.0
598,9.0
599,34.0
600,6.0
601,28.0
602,34.0
603,26.0
604,22.0
605,818.0
606,19.0
607,34.0
608,19.0
609,50.0
610,89.0
