,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
105,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,18.0,19.0,20.0,23.0,40.0,51.0,251.0,1704.0,3103.0,5127.0
106,6.0,15.0,23.0,59.0,99.0,124.0,127.0,128.0,316.0,407.0,533.0,763.0,1509.0,1557.0,1593.0,1715.0,3375.0,12605.0,16801.0,19793.0
107,27.0,34.0,60.0,61.0,62.0,68.0,98.0,106.0,151.0,189.0,453.0,454.0,456.0,529.0,792.0,1070.0,1071.0,1441.0,26289.0,26958.0
108,8.0,12.0,23.0,38.0,46.0,136.0,184.0,185.0,201.0,283.0,350.0,477.0,562.0,566.0,1008.0,1106.0,1153.0,1501.0,4917.0,8151.0
109,1.0,8.0,20.0,23.0,36.0,45.0,80.0,81.0,90.0,91.0,160.0,175.0,216.0,259.0,347.0,348.0,405.0,537.0,614.0,6090.0
110,1.0,3.0,6.0,12.0,65.0,66.0,86.0,87.0,181.0,224.0,225.0,272.0,672.0,944.0,1356.0,2454.0,2854.0,2857.0,5967.0,18466.0
111,9.0,55.0,56.0,63.0,85.0,89.0,93.0,94.0,103.0,143.0,200.0,235.0,249.0,442.0,455.0,629.0,1103.0,1197.0,2351.0,2818.0
112,30.0,49.0,63.0,69.0,136.0,209.0,548.0,701.0,799.0,1175.0,1191.0,1192.0,1718.0,2066.0,2571.0,3262.0,5436.0,8807.0,8808.0,37629.0
113,1.0,8.0,9.0,18.0,19.0,36.0,37.0,56.0,68.0,90.0,322.0,448.0,557.0,723.0,727.0,1109.0,1578.0,1849.0,2842.0,32323.0
114,62.0,126.0,165.0,179.0,241.0,339.0,435.0,460.0,538.0,542.0,544.0,550.0,1307.0,1384.0,2591.0,2593.0,2623.0,2639.0,3248.0,5526.0
115,25.0,45.0,75.0,167.0,217.0,263.0,264.0,276.0,320.0,353.0,469.0,470.0,869.0,1056.0,1168.0,1197.0,1198.0,1200.0,1695.0,4114.0
116,12.0,21.0,38.0,58.0,131.0,164.0,223.0,244.0,265.0,280.0,319.0,335.0,390.0,395.0,470.0,688.0,717.0,1324.0,1950.0,3261.0
117,93.0,101.0,107.0,112.0,122.0,139.0,174.0,175.0,176.0,177.0,202.0,214.0,229.0,354.0,480.0,626.0,1248.0,1263.0,1483.0,6335.0
118,15.0,86.0,137.0,140.0,146.0,174.0,269.0,308.0,309.0,510.0,646.0,664.0,983.0,1080.0,1227.0,1311.0,1392.0,1687.0,8115.0,13468.0
119,65.0,117.0,300.0,465.0,753.0,2456.0,3098.0,4264.0,6235.0,6862.0,17014.0,20866.0,25114.0,30126.0,38400.0,47142.0,47691.0,48383.0,51487.0,54384.0
120,355.0,444.0,886.0,1630.0,1912.0,1913.0,1914.0,2473.0,3541.0,5525.0,8304.0,8305.0,17104.0,19890.0,20444.0,29570.0,29571.0,30889.0,32213.0,52425.0
121,3.0,31.0,37.0,114.0,152.0,184.0,235.0,393.0,853.0,856.0,886.0,1248.0,1305.0,1314.0,1778.0,3454.0,5831.0,9999.0,36746.0,38355.0
122,53.0,78.0,94.0,139.0,282.0,283.0,370.0,507.0,704.0,758.0,907.0,1196.0,1757.0,1764.0,2788.0,3505.0,4590.0,5702.0,5703.0,5715.0
123,18.0,31.0,206.0,327.0,328.0,1103.0,1235.0,2259.0,2499.0,2937.0,2938.0,3470.0,6792.0,14762.0,16142.0,16459.0,16692.0,17025.0,34463.0,52139.0
124,84.0,239.0,353.0,375.0,407.0,423.0,675.0,710.0,1900.0,1942.0,2566.0,2781.0,5703.0,8109.0,8117.0,16074.0,17993.0,29004.0,35000.0,48140.0
125,1.0,3.0,14.0,27.0,45.0,46.0,54.0,78.0,152.0,203.0,445.0,512.0,625.0,684.0,1400.0,1409.0,2003.0,2769.0,6943.0,50200.0
126,29.0,37.0,58.0,84.0,105.0,123.0,212.0,295.0,322.0,382.0,423.0,706.0,739.0,1035.0,1072.0,1361.0,1492.0,2066.0,2067.0,4527.0
127,94.0,95.0,149.0,209.0,221.0,246.0,247.0,258.0,375.0,967.0,1140.0,1328.0,1618.0,1764.0,2782.0,2845.0,2847.0,3459.0,6035.0,20331.0
128,23.0,47.0,61.0,71.0,101.0,133.0,142.0,143.0,316.0,330.0,555.0,556.0,585.0,588.0,622.0,668.0,1278.0,1283.0,1689.0,1846.0
129,8.0,10.0,23.0,30.0,69.0,86.0,87.0,102.0,114.0,127.0,131.0,143.0,168.0,217.0,341.0,924.0,3513.0,4585.0,16389.0,16391.0
130,27.0,128.0,376.0,848.0,2361.0,5283.0,6353.0,6354.0,6765.0,8050.0,9071.0,9072.0,11143.0,11772.0,12666.0,13527.0,14249.0,14250.0,17362.0,33943.0
131,142.0,198.0,199.0,228.0,233.0,235.0,352.0,356.0,357.0,547.0,554.0,598.0,614.0,784.0,1111.0,1630.0,1819.0,3776.0,5225.0,5227.0
132,3.0,4.0,6.0,21.0,37.0,60.0,70.0,71.0,90.0,127.0,141.0,162.0,165.0,193.0,209.0,211.0,242.0,273.0,294.0,306.0
133,1.0,2.0,3.0,33.0,39.0,43.0,53.0,81.0,82.0,96.0,116.0,117.0,146.0,160.0,260.0,285.0,644.0,970.0,1140.0,13878.0
134,10.0,12.0,13.0,16.0,37.0,42.0,53.0,64.0,98.0,104.0,112.0,116.0,304.0,476.0,580.0,684.0,983.0,2347.0,2823.0,3409.0
135,29.0,36.0,80.0,81.0,117.0,158.0,336.0,474.0,874.0,1609.0,1870.0,2025.0,2404.0,2407.0,3379.0,4428.0,4863.0,5290.0,6800.0,17650.0
136,135.0,1058.0,1493.0,3304.0,5084.0,5179.0,6727.0,6880.0,6881.0,10448.0,10449.0,11698.0,14605.0,15317.0,20777.0,23906.0,26135.0,31906.0,37710.0,41007.0
